Customer Name,Marketer,Region,Status
Starways,Hamza Ali Khan,KPK,Developed
Stiflex Pharmaceuticas,,KPK,Undeveloped
Treat Pharmaceutical,Aaira Khan,KPK,Developed
Trivista Pharmaceutical,Imran Khan,KPK,Undeveloped
Unimark Pharmaeuticals,Imran Khan,Islamabad,Developed
Unisa Pharmaceutical Industries Ltd.,,KPK,Developed
Universal Pharmaceuticals,Imran Khan,Islamabad,Developed
Univet Pharmaceutical,Imran Khan,Islamabad,Developed
Usawa Pharmaceuticals,Imran Khan,KPK,Undeveloped
Valor Pharmaceutials,Imran Khan,Islamabad,Developed
Vision Pharmaceuticals Pvt Ltd,Imran Khan,Islamabad,Developed
Weatherfold Pharmaceutiacls,Imran Khan,Islamabad,Developed
Webrose Pharmaceuticals,Imran Khan,Islamabad,Developed
Wellborne Pharmachem & Biologicals,Imran Khan,Islamabad,Developed
Well & Well Pharma Pvt Ltd,Imran Khan,Islamabad,Developed
Wellmark Pharmaceuticals,Hamza Ali Khan,Islamabad,Developed
Welmed Pharmaceuticals,Hamza Ali Khan,KPK,Developed
Welward Pharmaceutical,Imran Khan,Islamabad,Developed
Wenovo Pharmaceuticals,Imran Khan,KPK,Developed
Winbrain Research Laboratories,Imran Khan,Islamabad,Developed
Winlinton pharmaceuticals,Imran Khan,Islamabad,Developed
Wilson Healthcare,Imran Khan,Islamabad,Developed
Werrick Pharmaceuticals,Imran Khan,Islamabad,Developed
Wisdom Pharmaeutical Co; Ltd,,KPK,Developed
Wise Pharmaceuticals,Imran Khan,Islamabad,Developed
Wnsfield Pharmaceuticals,Imran Khan,Islamabad,Developed
Zinta Pharmaceutical Industry,,KPK,Developed
Z-Jans Pharmaceutical (Pvt) Ltd,,KPK,Developed
Abbott Lahoratories (Pakistan) Ltd.,Abdul Moeez,Karachi,Undeveloped
Adamjee Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
AGP Ltd.,Imran Khan,Karachi,Developed
AJM PHARMA (PVT) LTD.,Abdul Moeez,Karachi,Undeveloped
Amarant Pharamceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Amros Pharmaceuticals,Hamza Ali Khan,Karachi,Developed
Asian Continental (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Aspin Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Atco Laboratories Limited,Abdul Moeez,Karachi,Developed
Avensis,Abdul Moeez,Karachi,Developed
Baariq Pharmaceuticals,Aaira Khan,Karachi,Undeveloped
Barrett Hodgson Pakistan (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Bosch Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Brookes Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Cibex (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
City Pharmaceutical Laboratories,Abdul Moeez,Karachi,Developed
Efroze Chemical Industries (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Elko Organization (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
E-Pharm Laboratories,Abdul Moeez,Karachi,Developed
Epla Laboratories (Pvt) Ltd.,Aaira Khan,Karachi,Developed
Epoch Pharmaceuticals,Abdul Moeez,Karachi,Developed
Eros Pharmaceuticals (Pvt) Ltd,Abdul Moeez,Karachi,Undeveloped
Faas Pharmaceuticals (Pvt) Ltd,Abdul Moeez,Karachi,Developed
Genix Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
Geofman Pharmaceuticals,Abdul Moeez,Karachi,Developed
Getz Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
GlaxoSmithKline (Haleon),Abdul Moeez,Karachi,Undeveloped
Galaxy Pharma Pvt. Ltd.,Abdul Moeez,Karachi,Undeveloped
Helix Pharma (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Herbion Pakistan (Pvt) Ltd,Dr. Ahsan Raza,Karachi,Developed
High-Q Pharmaceuticals,Dr. Ahsan Raza,Karachi,Developed
Hilton Pharma (Pvt) Ltd.,Aaira Khan,Karachi,Undeveloped
Hiranis Pharmaceuticals (Pvt) Ltd.,,Karachi,Direct
Hudson Pharma (Pvt) Ltd.,Imran Khan,Karachi,Undeveloped
Indus Pharma (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Inventor Pharma,Abdul Moeez,Karachi,Developed
Jfrin Pharmaceutical Laboratories,Abdul Moeez,Karachi,Undeveloped
Kaizen Pharmaceuticals (Pvt) Ltd.,Hamza Ali Khan,Karachi,Developed
Karachi Chemical Industries (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
Karachi Pharmaceutical Labs,Abdul Moeez,Karachi,Undeveloped
Le Mendoza Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
Linz Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
Lisko Pakistan (Pvt) Ltd.,Abdul Moeez,Karachi,Developed
Lucky Core Industries Ltd,Abdul Moeez,Karachi,Developed
Macter International Ltd.,Abdul Moeez,Karachi,Undeveloped
Mafins Pharma,Abdul Moeez,Karachi,Developed
Manhattan Pharmaceutical,Abdul Moeez,Karachi,Developed
Maple Pharmaceuticals (Pvt) Ltd.,Abdul Moeez,Karachi,Undeveloped
Martin Dow Ltd.,Abdul Moeez,Karachi,Developed
